Features,SHAP Importance,SHAP Importance Ranking
AC_POWER_moving average3 period,195.8851364099146,23
IRRADIATION,81.06403715403847,3
DC_POWER,75.11533213064854,4
IRRADIATION_lagg3 period,0.5924785492974833,20
AMBIENT_TEMPERATURE_lagg1 period,0.46713770851233555,21
AC_POWER_moving average24 period,0.4007950619622071,25
MODULE_TEMPERATURE,0.3828861452873275,2
AC_POWER_lagg24 period,0.30749206843373583,18
AC_POWER_moving average6 period,0.272312407194095,24
AC_POWER_lagg3 period,0.22997350226529534,16
AC_POWER_lagg1 period,0.20954353298288914,15
IRRADIATION_lagg1 period,0.20272154720482016,19
hour_cos,0.19181836732890217,8
moving average3 period,0.16044760936925712,26
MODULE_TEMPERATURE_lagg1 period,0.1490576198950611,22
AMBIENT_TEMPERATURE,0.1258709719641892,1
hour_sin,0.09819247529594106,7
hour,0.06043508541471129,5
day_of_year_cos,0.05682326148568772,12
AC_POWER_lagg6 period,0.05501773714285609,17
Is_it_daytime,0.04934739400376935,13
day_of_year_sin,0.03573407617381969,11
Is_it_peak_power_generation,0.0279331112392558,14
month,0.009537876959344643,6
month_cos,0.0073340899034371005,10
month_sin,0.005676807073890131,9
